DATA_SOURCE,RECORD_ID,RECORD_TYPE,PRIMARY_NAME_ORG,PRIMARY_NAME_FULL,PRIMARY_NAME_LAST,PRIMARY_NAME_FIRST,PRIMARY_NAME_MIDDLE,GENDER,DATE_OF_BIRTH,PASSPORT_NUMBER,PASSPORT_COUNTRY,DRIVERS_LICENSE_NUMBER,DRIVERS_LICENSE_STATE,SSN_NUMBER,SSN_LAST4,NATIONAL_ID_NUMBER,NATIONAL_ID_COUNTRY,ADDR_TYPE,ADDR_FULL,ADDR_LINE1,ADDR_CITY,ADDR_STATE,ADDR_POSTAL_CODE,ADDR_COUNTRY,PHONE_TYPE,PHONE_NUMBER,EMAIL_ADDRESS,DATE,STATUS,AMOUNT
CUSTOMERS,1001,PERSON,,,Smith,Robert,,,12/11/1978,,,,,,,,,MAILING,,"123 Main Street, Las Vegas NV 89132",,,,,HOME,702-919-1300,bsmith@work.com,1/2/18,Active,100
CUSTOMERS,1002,PERSON,,,Smith II,Bob,,,11/12/1978,,,,,,,,,HOME,,1515 Adela Lane,Las Vegas,NV,89111,,MOBILE,702-919-1300,,3/10/17,Inactive,200
CUSTOMERS,1003,PERSON,,,Smith,Bob,J,,12/11/1978,,,,,,,,,,,,,,,,,,bsmith@work.com,4/9/16,Inactive,300
CUSTOMERS,1004,PERSON,,,Smith,B,,,,,,,,,,,,HOME,,1515 Adela Ln,Las Vegas,NV,89132,,,,bsmith@work.com,1/5/15,Inactive,400
CUSTOMERS,1005,PERSON,,,Smith,Rob,E,,,,,112233,NV,,,,,MAILING,,123 E Main St,Henderson,NV,89132,,,,,7/16/19,Active,500
CUSTOMERS,1009,PERSON,,,Kusha,Edward,,,3/1/1970,,,,,294-66-9999,,,,HOME,,1304 Poppy Hills Dr,Blacklick,OH,43004,,,,Kusha123@hmail.com,1/7/18,Active,600
CUSTOMERS,1010,PERSON,,,Kusha,Eddie,,,Mar 1 1970,,,,,,,,,HOME,,1304 Poppy Hills Dr,Blacklick,OHIO,,,,,,1/8/16,Inactive,700
CUSTOMERS,1011,PERSON,,,Knight,Ed,,,3/1/70,,,,,,,,,HOME,,1602 Brenville Pl,San Francisco,CA,94105,,,,,10/9/15,Terminated,800
CUSTOMERS,1015,PERSON,,,Kusha,Mary ,,,10/27/76,,,,,293-90-9090,,,,HOME,,1304 Poppy Hills Dr,Blacklick,OH,43004,,HOME,512-353-8633,Kusha123@hmail.com,1/10/18,Active,900
CUSTOMERS,1016,PERSON,,,Kusha,Marie,,,10/27/76,,,,,,,,,HOME,,1304 Poppy Hills Dr,,,43004,,,,,1/11/18,Active,100
CUSTOMERS,1017,PERSON,,,Kusha,Mary ,,,,,,,,293-90-9090,,,,,,,,,,,,,,1/12/18,Active,200
CUSTOMERS,1018,PERSON,,,Kusha,Marie,,,10/28/76,,,,,,,,,,,,,,,,HOME,512-353-8633,,1/13/18,Active,300
CUSTOMERS,1019,PERSON,,,Kusha,Mark,,,9/28/97,,,,,,,,,HOME,,1304 Poppy Hills Dr,Blacklick,OH,43004,,,,Kusha123@hmail.com,1/14/18,Active,400
CUSTOMERS,1020,PERSON,,,Kusha,Marsha,,,9/28/97,,,,,201-77-7719,,,,HOME,,1304 Poppy Hills Dr,Blacklick,OH,43004,,,,Kusha123@hmail.com,1/15/18,Active,500
CUSTOMERS,1022,PERSON,,,Antoun,Mohamed,,,1/7/80,,,,,,,,,,,,,,,,,,,1/16/18,Active,600
